,RIC,Title ,Comments,Views,Source,Date,Author,Total Post by Author,Like,Date Posted,Time,Comments2,Sentiment
9438,,,,,,2010-08-24,regularASX,2602.0,,23/08/2010,3:27:00 PM,As predicted the SP has been steadily sliding down to <$31.00. When it gets there (30.80) I am going to load up...anyone else sharing similar thoughts?,None
9439,,,,,,2010-08-24,SwingT,102.0,2.0,23/08/2010,4:17:00 PM,"regularASX,

I went long today, I jumped the gun on the entry a bit and got in closer to the opening price. I was thinking with the political uncertainty at the moment, that money might flow into defensives until its sorted. I'm looking to hold until the end of the week.",ST
9440,,,,,,2010-08-24,regularASX,2602.0,,23/08/2010,4:37:00 PM,"SwingT - thanks for the chart. Anything around or under $31 is a good entry. CSL has not been acting always in the ""defensive's"" spirit even though it is a defensive stock. I am still waiting - 5-6 days now. I think this week I will make an entry hopefully under $31.00. Holding 5K units now.",None
9441,,,,,,2010-08-24,SwingT,102.0,2.0,23/08/2010,5:18:00 PM,"No probs mate.

Take a look at XHJ...double bottom? The last 2 sessions have rejected the lows put in around the 27th May. Should be good for a bounce.

Also with CSL, the daily now has 3 candles outside the bottom bband, getting a bit extreme.",ST
9442,,,,,,2010-08-24,vpow,32.0,,20/08/2010,1:56:00 PM,"Hi there,

I did a charting analysis for CSL.
From my analysis, CSL share have break it support level, and it is now will keep going south until its new support level maybe around $30+. Im waiting for the hammer to reenter. Anyone share similar thought?

Im new with charting and hopefully by posting this, i could learn and understand more about TA.

Cheeers,

[IMG][IMG]http://i831.photobucket.com/albums/zz233/vpow3/csl_ax26may10_to_21aug10.jpg[/IMG][/IMG]",None
9443,,,,,,2010-08-24,regularASX,2602.0,,19/08/2010,11:36:00 AM,"The majority (all but 1) of the usual suspects - not as positive on CSL as before the report;

Macquarie 19/08/2010 3 Neutral $35.23 11.4%
JP Morgan 19/08/2010 3 Downgrade to Neutral from Overweight $34.61 9.5%
UBS 19/08/2010 1 Buy $40.00 26.5%
Credit Suisse 19/08/2010 3 Neutral $37.50 18.6%
Deutsche Bank 19/08/2010 3 Hold $32.20 1.8%

Will wait till it falls further.",None
9444,,,,,,2010-08-24,buddfox,9241.0,,19/08/2010,1:34:00 PM,"after 5 days of heavy selling, this has finally found support, and looks to be reversing to the upside, imo.

buy-back should also support it.

going long.

dyor!

regards,",None
9445,,,,,,2010-08-24,bricklebar,1863.0,279.0,19/08/2010,7:54:00 PM,Another buy back...are they trying to take the company private? haha. I presume approximately another 25 million shares will disappear from the shares outstanding column. EPS positive for holders.,ST
9446,CSL,it still good results,29.0,1.6K,archie88,2010-08-18,archie88,1651.0,4.0,18/08/2010,12:44:00 PM,"This is a reporter for last year's result.

Next reporter you will be extremely good:

a) New products in designing

b) Rate of selling increasing

c) Capital positioned

d) Good dividend declared
target price will be 47 per share in next 12 months
DYOR

Cheers",Hold
9447,,,,,,2010-08-18,regularASX,2602.0,,18/08/2010,1:22:00 PM,"I reckon CSL will fall further (30.80-30.90) before it establishes a new trading range (31-33). I have been a long term holder but I have sold majority of my holding recently as I did not want to wait for ""dump the fact"" as it happened in the past. Once it dips below 31 I will happily re-enter with a nice chunk.",None
9448,CSL,News: CSL announces FY profit and share buy back,1.0,99,FNN News,2010-08-18,FNN News,,1.0,18/08/2010,11:38:00 AM,".

Blood products maker CSL Ltd (ASX:CSL) has posted a full year net profit of $1.05 billion and announced a share buy-back plan for $900 million of its shares.

The profit represents a fall of 8.1% from the year before, however based on constant currency prices CSL recorded a profit of $1.24 billion up 22% for the 12 months to 30 June.

CSL has also increased its final dividend 13% to 45 cents.

Managing Director Dr McNamee says the strong result was achieved despite currency headwinds, rigorous competition and global health healthcare reform.

Looking ahead Dr McNamee says operational profit growth is expected to be solid, largely underpinned by ongoing growth in demand for plasma therapies.

CSL has forecast a net profit after tax of between $980 million and $1 billion for the following financial year.

CSL reported a profit of $1.15 billion for the year to 30 June 2009.",None
9449,CSL,where is the growth?,1.0,192,webllinks,2010-08-18,webllinks,964.0,23.0,18/08/2010,10:37:00 AM,Why would anyone pay 17x earnings for a company that will report the same (most likely less) earnings next year?,None
9450,,,,,,2010-08-18,floydf,834.0,1.0,18/08/2010,10:34:00 AM,"Guess we now know why it bounced off $34 so hard.
No inside trading or anything though, god forbid!",Hold
9451,CSL,Ann: Announcement of buy-back - Appendix 3C,2.0,163,ASX News,2010-08-18,ASX News,,851.0,18/08/2010,8:47:00 AM,"Summary: Announcement of buy-back - Appendix 3C
Price Sensitive: Yes
Download Document  70.86KB",None
9452,,,,,,2010-08-18,regularASX,2602.0,,18/08/2010,9:28:00 AM,"Full Year Result
Profit $1,053 million ($1,240m at constant currency1 up 22%2)
Cash Flow from Operations $1,168 million up 14%
New share buyback announced up to $900 million3
Final dividend 45 cents per share up 13%
CSL Limited today announced a profit after tax of $1,053 million for the twelve months
ended 30 June 2010. This result included an unfavourable foreign exchange impact of
$187 million. On a constant currency (cc1) basis, operational net profit after tax grew
22% after excluding one-off non-operational items2 in fiscal 2009, as previously
disclosed.
KEY ITEMS
Financials
 Total sales revenue of $4.5 billion up 10% at cc
 Global sales and fill & finish activities relating to CSLs pandemic influenza
vaccine (H1N1), totalled $235 million
 Reported net profit after tax of $1,053 million ($1,240 million at cc up 22%2)
 Foreign currency headwind of $187 million
 Research and Development investment of $317 million up 10% at cc
 Cash flow from operations of $1,168 million up 14%
 Strong Balance Sheet - cash on hand $1,001 million, borrowings $462 million
 Final dividend 45 cents per share, up 13%, partially franked to 11%, payable on 8
October 2010. Total ordinary dividends for the year were 80 cents per share up
14% on the previous year.
Capital Management
 On-market share buyback complete ~$1.8 billion returned to shareholders
 New on-market share buyback announced, up to $900 million3
 Dividend payout ratio lifted to 43%.",None
9453,CSL,"Ann: Full Year Results, Appendix 4E and Analysts",1.0,82,ASX News,2010-08-18,ASX News,,851.0,18/08/2010,8:32:00 AM,"Summary: Full Year Results, Appendix 4E and Analysts Presentation
Price Sensitive: Yes
Download Document  1.74MB",None
9454,CSL,Ann: Appendix 3B,1.0,92,ASX News,2010-08-17,ASX News,,851.0,17/08/2010,10:30:00 AM,"Summary: Appendix 3B
Price Sensitive: No
Download Document  43.86KB",None
9458,CSL,News: CSL price fixing lawsuit mounts,1.0,186,FNN News,2010-07-20,FNN News,,1.0,20/07/2010,10:09:00 AM,".

Australia's largest healthcare company CSL Ltd (ASX:CSL) has had another hospital network join a multibillion-dollar lawsuit against the biopharmaceutical company, according to The Age.

The paper says that Beth Israel Medical Centre, St Luke's and Roosevelt Hospital have joined a class action, claiming that CSL is involved in price fixing for its blood plasma products.

Driving down supply, inflating prices and eliminating competition are also part of the claims against CSL, says The Age.

CSL reportedly refutes the claims and states that it intends to defend the civil action.

The Age says that the last group to join the mounting lawsuit against blood plasma company CSL, is its main North American competitor, Baxter International.

CSL reported a profit of $1.14 billion for the year ending 30 June 2009.",None
9459,,,,,,2010-07-20,regularASX,2602.0,,12/07/2010,8:36:00 AM,"Deutsche Bank 12/07/2010 3 Hold $34.00 1.3%

The broker suggests CSL will post a strong FY10 result which, along with the share buyback, will support the share price. However, evidence in the US points to a softening in demand going forward. Given CSL is already trading at a strong premium to its peers and the market, the broker suggests there is little upside.

Target price is $34.00 Current Price is $33.25 Difference: $0.75
If CSL meets the Deutsche Bank target it will return approximately 2% (excluding dividends, fees and charges).",None
9460,,,,,,2010-07-20,Sunrise2000,8809.0,15.0,5/07/2010,5:02:00 PM,"My thoughts on csl.

What do people think of CSL on the aquisition trail for up and coming and Australian biotechs.!!

A few companies spring to mind that may be a good fit.

Any thoughts",Hold
9461,,,,,,2010-07-20,street talk,11142.0,477.0,5/07/2010,5:16:00 PM,"CSL have been hoarding cash since the telecris deal fell through, so they must be keen on an acquisition otherwise they would have returned the $1 billion they are sitting on to shareholders",Buy
9462,,,,,,2010-07-20,pkaneathotcopper,138.0,,1/07/2010,6:05:00 PM,-- Content Moderated --,LT
9463,CSL,Ann: Appendix 3B,1.0,64,ASX News,2010-06-30,ASX News,,851.0,30/06/2010,12:23:00 PM,"Summary: Appendix 3B
Price Sensitive: No
Download Document  43.81KB",None
9464,,,,,,2010-06-30,regularASX,2602.0,,28/06/2010,9:13:00 AM,"Deutsche Bank 28/06/2010 3 Hold $34.00 4.6%
The German government has both increased and expanded the range of recipients of its plasma product rebate, leading the broker to increase its CSL forecast earnings by 2% in FY11. The broker notes the impact will become more material if other European countries follow Germany's lead.

Target price is $34.00 Current Price is $33.55 Difference: $0.45
If CSL meets the Deutsche Bank target it will return approximately 1% (excluding dividends, fees and charges).",None
9465,CSL,Ann: Ceasing to be a substantial holder,1.0,57,ASX News,2010-06-28,ASX News,,851.0,28/06/2010,1:41:00 PM,"Summary: Ceasing to be a substantial holder
Price Sensitive: No
Download Document  76.68KB",None
9466,,,,,,2010-06-28,clkoay789,214.0,,23/06/2010,1:31:00 PM,Not going anywhere thanks to baxter.,LT
9467,CSL,we looking at $35 now?,4.0,385,pkaneathotcopper,2010-06-22,pkaneathotcopper,138.0,,22/06/2010,6:24:00 PM,"Yeah CSL is looking pretty sweet aint it?!?!?

Anyone have thoughts as to when this will hit $35?

:)

P",LT
9468,CSL,why is it at an indicative price of $31?,5.0,447,pkaneathotcopper,2010-06-17,pkaneathotcopper,138.0,,17/06/2010,8:56:00 AM,"Did i miss something?

P",LT
9469,,,,,,2010-06-17,street talk,11142.0,477.0,17/06/2010,9:07:00 AM,wait til open as sell bids can be pulled prior to opening,Buy
9470,,,,,,2010-06-17,pkaneathotcopper,138.0,,17/06/2010,9:13:00 AM,"Hey mate

Thats just scary stuff lol
It was on $33.5 then went to $31 in one click!
Is it usual for a stock like this to do that? Fall by an indicative 7%? For speculative stocks that does occur but for blue chips there usually news behind it?

P",LT
9471,,,,,,2010-06-17,Akki,33279.0,416.0,17/06/2010,9:16:00 AM,it's option expiry today - just ignore pre-market across the board....,None
9472,,,,,,2010-06-17,pkaneathotcopper,138.0,,17/06/2010,9:47:00 AM,"Cheers mate

Totally forgot like a chump!!!

You coming to the meet tomorrow? I owe you a beer lol

P",LT
9473,,,,,,2010-06-17,regularASX,2602.0,,17/06/2010,9:41:00 AM,"BA-Merrill Lynch 17/06/2010 3 Neutral, Medium Risk $35.70 7.4%

In the broker's view the current weaker growth rates being experienced in the US plasma industry are a function of macro depressed demand and not traditional oversupply. Currently fractionators appear to be of the view that gaining market share in the current environment will be a positive when demand recovers.

This may take some time in the broker's view, so on valuation grounds there is no change to its Neutral rating on the stock.

Target price is $35.70 Current Price is $33.33 Difference: $2.37
If CSL meets the BA-Merrill Lynch target it will return approximately 7% (excluding dividends, fees and charges).",None
9474,,,,,,2010-06-17,LuckyV,2913.0,,10/06/2010,5:52:00 AM,it may have also gone up because of article in smh that the plantiffs suing CSL are dropping out. Probably have another good day today.,None
9475,,,,,,2010-06-17,street talk,11142.0,477.0,10/06/2010,7:23:00 AM,"Mayo Clinic pulls out of CSL suit

ELI GREENBLAT
Fairfax June 10, 2010

THE Mayo Clinic has unexpectedly withdrawn from a multimillion-dollar antitrust lawsuit against blood plasma company CSL, and many other US hospitals have also walked away from the case.

It is believed the Mayo dropped its lawsuit last month. More than a dozen other hospitals and institutions also decided to remove their names as plaintiffs, leaving only a small number of litigants to push the case through the US courts.

On a visit to Australia this week, CSL's US-based global chief operating officer, Peter Turner, told analysts about the stunning reversal in fortunes regarding the looming court case, which was launched last July.

He also said CSL had taken market share in the US, although demand for plasma therapeutics remained lower, in line with the soft and fragile domestic economy.

Mr Turner is also reported to have told investors and analysts that he expected to be able to increase profit margins as well as revenue per litre, with smaller niche product launches and expanding markets.

During the briefings, he updated analysts on the potentially damaging and embarrassing lawsuit aimed at CSL and the news that most of the alleged victims had fallen away.

Fresh documents lodged in the courts show the antitrust lawsuit against CSL and its main rival, Baxter International - which once had nearly 20 plaintiffs - has been consolidated to now include only four plaintiffs.

The four institutions still suing CSL for allegedly fixing the price of life-saving blood plasma products are: the University of Utah, Hospital de Damas of Puerto Rico, pharmacy group Mak Medical and California's Comprehensive Blood and Cancer Centre.

But it is the retreat by the Mayo Clinic that could prove most damaging to the case against CSL as its name on the list of plaintiffs carried a lot of weight.

It is unclear why the Mayo and up to 14 other hospitals decided to drop the suit.

In its 62-page complaint, lodged this year, the clinic claimed it had been forced to pay ''supra-competitive prices'' for blood plasma products and that its business and property had been damaged. It went on to describe a highly complex and hidden conspiracy led by CSL that allegedly fixed the price of blood plasma by slashing supply.

''The alleged conspiracy artificially inflated the cost of delivering high-quality healthcare to patients in need of blood plasma protein therapy, and was undertaken with utter disregard for the likely adverse effects on patients of restricting the availability of blood plasma protein therapy,'' the Mayo said at the time.

CSL has said the claims were unsupported by fact and were without merit, and that it would vigorously defend the civil action.

CSL shares ended up 67 at $33.94.",Buy
9476,,,,,,2010-06-17,bagus,402.0,6.0,10/06/2010,9:53:00 AM,"News is out now , so it will probably fall.",None
9477,,,,,,2010-06-17,clkoay789,214.0,,10/06/2010,12:50:00 PM,Will the deal to buy Talecris get blocked? Just like the CSL bid?,LT
9481,CSL,grifols to buy talecris biotherapeutics...,7.0,887,Evision,2010-08-06,Evision,2099.0,22.0,8/06/2010,3:30:00 PM,"By Julianne Pepitone,
Staff Reporter June 7, 2010: 7:30 AM ET

NEW YORK (CNNMoney.com) -- Grifols, a Spanish health care group that makes blood-plasma treatments, said Monday it will buy U.S.-based Talecris Biotherapeutics for $3.4 billion.

Shares of Talecris (TLCR), based in Research Triangle Park, N.C., rose 48% in premarket trading.

The move will create a ""global leader of plasma protein therap[ies],"" the companies said in a release. The deal is expected to close in the second half of this year.

Barcelona-based Grifols will buy Talecris common stock for $19 in cash and 0.641 new, non-voting Grifols share for each Talecris share. The deal values Talecris shares at $26.16, a 53% premium over the average price of the stock over the last 30 days, according to Grifols.

Grifols said it expected to save $230 million in operating costs for plasma collection, manufacturing, marketing and research.

The combined company will generate about $2.8 billion in revenues per year, with 58% of that coming from North America.

An affiliate of Cerberus Capital Management, which owns 49% of Talecris stock, said it will vote for the deal.

E.",LT
9482,,,,,,2010-08-06,pkaneathotcopper,138.0,,8/06/2010,3:46:00 PM,"ITS TOUCHING!!!!!!!!!!!!!!! :)

$34 should be in our sights soon enough.

$37 is still my target price :)

PK",LT
9483,,,,,,2010-08-06,bagus,402.0,6.0,8/06/2010,2:33:00 PM,"Maybe sold too early.
$36.50 is my target",None
9484,CSL,close to 195 ema :),2.0,266,pkaneathotcopper,2010-07-06,pkaneathotcopper,138.0,,7/06/2010,4:42:00 PM,"Just thought id notify all that CSL is almost touching the ema 200 / 195 line...

If its up tomorrow... Happy days.

:)

P",LT
9485,,,,,,2010-07-06,street talk,11142.0,477.0,7/06/2010,10:44:00 AM,"from todays fin review, which could explain CSL rise over past 2 trading days

Spains Grifols is reportedly planning to buy Talecris Biotherapeutics for more than $3 billion.",Buy
9486,,,,,,2010-07-06,LuckyV,2913.0,,4/06/2010,10:25:00 AM,selmax over $32 :),None
9487,,,,,,2010-07-06,selmax,8028.0,,4/06/2010,11:06:00 AM,"sold at $32.83, close to my $33, got to be happy with that...lol. Didn't think it would be this quick.

I thank my little bird!!!",Buy
9488,,,,,,2010-07-06,fluffynymph,54732.0,160.0,4/06/2010,11:10:00 AM,Selmax: Please change your signature asap as this is an English only site. Thanks.,None
9489,,,,,,2010-07-06,LuckyV,2913.0,,4/06/2010,11:17:00 AM,well done selmax. i have a sell on now,None
9490,,,,,,2010-07-06,The Pro,1560.0,,4/06/2010,11:22:00 AM,"Hahaha selmax, you seem to be in every stock I own/trade. I just sold at $32.94, that was a very pleasant surprise. Now I'm done for the week, time to enjoy a few quite beverages :-)",Buy
9491,,,,,,2010-07-06,selmax,8028.0,,4/06/2010,11:32:00 AM,"Well done LuckyV and The Pro.

I didn't really do any work, it was my little bird who told me about it yesterday, and I thought I share it with my friends. hehe.",Buy
9492,,,,,,2010-07-06,LuckyV,2913.0,,4/06/2010,3:27:00 PM,"Selmax, did you get back into CSL.

I was tempted at 32.57. looking strong again.

will see on monday.",None
9493,CSL,Ann: Appendix 3B,1.0,62,ASX News,2010-04-06,ASX News,,851.0,4/06/2010,2:11:00 PM,"Summary: Appendix 3B
Price Sensitive: No
Download Document  43.78KB",None
9494,,,,,,2010-04-06,selmax,8028.0,,3/06/2010,2:43:00 PM,"Hi LuckyV

A little bird told me to buy some CSL once she breaks 32, she will fly to 33 very quick. I think there is a $1.00 here somewhere.

No advice, just opinions only, dyor.


Cheers

Selmax",Buy
9495,,,,,,2010-04-06,LuckyV,2913.0,,3/06/2010,4:00:00 PM,"hope its soon selmax :) are you still holding BHP.

I did get Wes but not confident if there is much in Wes",None
9496,,,,,,2010-04-06,selmax,8028.0,,3/06/2010,4:42:00 PM,"Yes luckyv,
I still have bhp. $42 target for me remember?",Buy
9497,,,,,,2010-04-06,LuckyV,2913.0,,2/06/2010,6:19:00 PM,just cant stay above 32. Is this a double top?? really need it above 32 tomorrow.,None
9498,,,,,,2010-04-06,rheags,265.0,,1/06/2010,5:00:00 AM,"Well for me yesterday was the first sign of some positive on the CSL chart since the big gap down.

Friday we tried to break above our downtrend line only to close just below it. Yesterday we managed to stay above the line for the whole day.

Still nervous but a little less nervous :)",LT
9499,,,,,,2010-04-06,gurubob,1497.0,,1/06/2010,2:47:00 PM,Thanks Rheags,LT
9500,,,,,,2010-04-06,LuckyV,2913.0,,1/06/2010,3:28:00 PM,was looking good. afternoon selloff :(,None
9504,CSL,chartists,17.0,1.2K,gurubob,2010-05-31,gurubob,1497.0,,31/05/2010,3:04:00 PM,hi guys ...wat is charts showing re this one atm...thanks,Hold
9505,,,,,,2010-05-31,LuckyV,2913.0,,31/05/2010,12:27:00 PM,slowly creeping up. would like to see it over 32.,None
